rank,path_id,risk_score,risk_level,hop_count,exploit_stage_count,access_condition_count,final_target,maximum_cvss,maximum_epss,kev_present,cvss_component,epss_component,kev_component,asset_criticality_component,path_efficiency_component,average_access_confidence,evidence_multiplier,assumption_multiplier,scenario_assumption_count,cve_coverage,vulnerabilities,access_conditions,compromised_assets,path_labels,node_ids
22,PATH-0080,52.0014,Medium,7,1,2,DatabaseServer,4.3,0.73851,False,0.43,0.73851,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2015-2808,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2015-2808 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2015-2808;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
23,PATH-0009,50.2048,Medium,7,1,2,DatabaseServer,7.5,0.2446,False,0.75,0.2446,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2003-1567,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2003-1567 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2003-1567;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
24,PATH-0050,50.2048,Medium,7,1,2,DatabaseServer,7.5,0.2446,False,0.75,0.2446,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2003-1567,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2003-1567 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2003-1567;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
25,PATH-0108,50.2048,Medium,7,1,2,DatabaseServer,7.5,0.2446,False,0.75,0.2446,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2003-1567,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2003-1567 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2003-1567;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
26,PATH-0094,48.8083,Medium,7,1,2,DatabaseServer,8.8,0.019,False,0.88,0.019,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2018-17855,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2018-17855 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2018-17855;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
27,PATH-0146,48.8083,Medium,7,1,2,DatabaseServer,8.8,0.019,False,0.88,0.019,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2018-17855,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2018-17855 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2018-17855;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
28,PATH-0038,48.5665,Medium,7,1,2,DatabaseServer,8.8,0.00995,False,0.88,0.00995,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2018-20719,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2018-20719 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2018-20719;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
29,PATH-0095,48.5665,Medium,7,1,2,DatabaseServer,8.8,0.00995,False,0.88,0.00995,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2018-20719,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:443/tcp http -> CVE-2018-20719 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|443;VULNERABILITY|192.168.100.8|tcp|443|CVE-2018-20719;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
30,PATH-0147,48.5665,Medium,7,1,2,DatabaseServer,8.8,0.00995,False,0.88,0.00995,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2018-20719,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",OWASPBWA;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.8:80/tcp http -> CVE-2018-20719 -> OWASPBWA -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.8|tcp|80;VULNERABILITY|192.168.100.8|tcp|80|CVE-2018-20719;ASSET|A4;ACCESS_CONDITION|AC2;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
31,PATH-0035,47.5049,Medium,7,1,2,DatabaseServer,5.8,0.37022,False,0.58,0.37022,0.0,1.0,0.806452,0.75,0.9375,0.95,1,1.0,CVE-2014-7883,"credential_reuse [scenario_assumption, Low];stored_database_credentials [observed_lab_configuration, High]",Metasploitable;ApplicationServer;DatabaseServer,External Attacker -> 192.168.100.7:80/tcp http -> CVE-2014-7883 -> Metasploitable -> credential_reuse -> ApplicationServer -> stored_database_credentials -> DatabaseServer,ATTACKER;SERVICE|192.168.100.7|tcp|80;VULNERABILITY|192.168.100.7|tcp|80|CVE-2014-7883;ASSET|A3;ACCESS_CONDITION|AC1;ASSET|A1;ACCESS_CONDITION|AC3;ASSET|A2
